"values","time"
99.73,2012.91666666667
100.43,2013
100.4,2013.08333333333
100.42,2013.16666666667
100.46,2013.25
100.57,2013.33333333333
100.72,2013.41666666667
100.64,2013.5
100.46,2013.58333333333
100.43,2013.66666666667
100.44,2013.75
100.28,2013.83333333333
100.12,2013.91666666667
100.38,2014
100.28,2014.08333333333
100.26,2014.16666666667
100.26,2014.25
100.53,2014.33333333333
100.64,2014.41666666667
100.49,2014.5
100.28,2014.58333333333
100.34,2014.66666666667
100.43,2014.75
100.26,2014.83333333333
99.99,2014.91666666667
99.87,2015
99.68,2015.08333333333
99.87,2015.16666666667
100.13,2015.25
100.44,2015.33333333333
100.55,2015.41666666667
100.27,2015.5
100.06,2015.58333333333
99.82,2015.66666666667
99.9,2015.75
99.88,2015.83333333333
99.53,2015.91666666667
99.24,2016
99.37,2016.08333333333
99.38,2016.16666666667
99.74,2016.25
99.69,2016.33333333333
99.82,2016.41666666667
99.41,2016.5
99.27,2016.58333333333
99.3,2016.66666666667
99.58,2016.75
99.67,2016.83333333333
99.75,2016.91666666667
100.02,2017
100.55,2017.08333333333
100.42,2017.16666666667
100.56,2017.25
100.82,2017.33333333333
100.82,2017.41666666667
100.87,2017.5
100.88,2017.58333333333
101.05,2017.66666666667
101.4,2017.75
101.73,2017.83333333333
101.71,2017.91666666667
102.59,2018
102.75,2018.08333333333
102.95,2018.16666666667
103.56,2018.25
103.57,2018.33333333333
103.7,2018.41666666667
103.53,2018.5
103.77,2018.58333333333
103.81,2018.66666666667
103.9,2018.75
103.76,2018.83333333333
103.61,2018.91666666667
104.86,2019
105.09,2019.08333333333
105.78,2019.16666666667
106.01,2019.25
106.39,2019.33333333333
106.49,2019.41666666667
106.64,2019.5
106.87,2019.58333333333
106.97,2019.66666666667
106.87,2019.75
107.05,2019.83333333333
106.89,2019.91666666667
108.23,2020
108.37,2020.08333333333
108.34,2020.16666666667
108.26,2020.25
108.58,2020.33333333333
108.46,2020.41666666667
108.54,2020.5
108.41,2020.58333333333
108.45,2020.66666666667
108.61,2020.75
108.71,2020.83333333333
108.65,2020.91666666667
109,2021
109.31,2021.08333333333
109.93,2021.16666666667
110.1,2021.25
110.78,2021.33333333333
111.19,2021.41666666667
111.7,2021.5
111.97,2021.58333333333
112.82,2021.66666666667
113.4,2021.75
113.96,2021.83333333333
114.15,2021.91666666667
117.37,2022
118.36,2022.08333333333
120.43,2022.16666666667
122.06,2022.25
123.82,2022.33333333333
125.21,2022.41666666667
126.02,2022.5
126.95,2022.58333333333
128.14,2022.66666666667
129.81,2022.75
131.22,2022.83333333333
