"values","time"
-28.4,2011.75
-33.1,2011.83333333333
-37.2,2011.91666666667
-32.7,2012
-31.8,2012.08333333333
-30.7,2012.16666666667
-24.3,2012.25
-23,2012.33333333333
-24,2012.41666666667
-24.1,2012.5
-25.1,2012.58333333333
-29.8,2012.66666666667
-33.7,2012.75
-28.2,2012.83333333333
-33.2,2012.91666666667
-31.8,2013
-28.1,2013.08333333333
-27.3,2013.16666666667
-28.5,2013.25
-26.8,2013.33333333333
-24.8,2013.41666666667
-20.3,2013.5
-21.6,2013.58333333333
-21.5,2013.66666666667
-21.8,2013.75
-19,2013.83333333333
-19.6,2013.91666666667
-14.5,2014
-20.6,2014.08333333333
-16.1,2014.16666666667
-15.4,2014.25
-12.4,2014.33333333333
-13.1,2014.41666666667
-13.1,2014.5
-11.9,2014.58333333333
-15.4,2014.66666666667
-14.7,2014.75
-14.1,2014.83333333333
-13.2,2014.91666666667
-12.4,2015
-11.1,2015.08333333333
-10.6,2015.16666666667
-10.8,2015.25
-11.7,2015.33333333333
-11,2015.41666666667
-11.6,2015.5
-10.7,2015.58333333333
-11.7,2015.66666666667
-9.7,2015.75
-10.8,2015.83333333333
-11.1,2015.91666666667
-7.5,2016
-9,2016.08333333333
-11.3,2016.16666666667
-9.9,2016.25
-9.2,2016.33333333333
-8.2,2016.41666666667
-8.3,2016.5
-9.2,2016.58333333333
-8.3,2016.66666666667
-7.5,2016.75
-9,2016.83333333333
-7.3,2016.91666666667
-8.2,2017
-8.9,2017.08333333333
-9.4,2017.16666666667
-8.4,2017.25
-7.1,2017.33333333333
-8.1,2017.41666666667
-7,2017.5
-8.9,2017.58333333333
-7.8,2017.66666666667
-8.1,2017.75
-8.2,2017.83333333333
-8.9,2017.91666666667
-6.4,2018
-7.2,2018.08333333333
-10,2018.16666666667
-11.1,2018.25
-7.2,2018.33333333333
-8.6,2018.41666666667
-7.9,2018.5
-6.5,2018.58333333333
-8.4,2018.66666666667
-8,2018.75
-8.6,2018.83333333333
-8.1,2018.91666666667
-9.7,2019
-7.6,2019.08333333333
-9.5,2019.16666666667
-8.3,2019.25
-7.6,2019.33333333333
-6.1,2019.41666666667
-5.9,2019.5
-8.5,2019.58333333333
-8.8,2019.66666666667
-9,2019.75
-9.6,2019.83333333333
-10.7,2019.91666666667
-11.1,2020
-9.4,2020.08333333333
-9.4,2020.16666666667
-35.3,2020.25
-28.9,2020.33333333333
-25.1,2020.41666666667
-23.3,2020.5
-20,2020.58333333333
-20.4,2020.66666666667
-23.5,2020.75
-23.3,2020.83333333333
-21.7,2020.91666666667
-25.7,2021
-25.6,2021.08333333333
-26,2021.16666666667
-19.6,2021.25
-18,2021.33333333333
-16.2,2021.41666666667
-16.4,2021.5
-15.9,2021.58333333333
-18.3,2021.66666666667
-19.8,2021.75
-21.2,2021.83333333333
-24.2,2021.91666666667
-21.1,2022
-22,2022.08333333333
-28.8,2022.16666666667
-28,2022.25
-27.5,2022.33333333333
-28.2,2022.41666666667
-29,2022.5
-29.6,2022.58333333333
-31.3,2022.66666666667
-32.8,2022.75
